_time,totalNewCases,totalNewTests,undergradCases,undergradTests,gradCases,gradTests,facStaffCases,facStaffTests
Tue Sep  7 00:00:00 2021,18,5502,12,3507,1,645,5,1220
Wed Sep  8 00:00:00 2021,25,3954,23,2755,0,413,2,674
Thu Sep  9 00:00:00 2021,33,5247,26,4020,1,389,6,752
Fri Sep 10 00:00:00 2021,13,3713,10,2276,0,387,3,927
Sat Sep 11 00:00:00 2021,6,1293,3,943,1,136,2,176
Sun Sep 12 00:00:00 2021,8,2175,5,1532,1,239,2,313
Mon Sep 13 00:00:00 2021,11,4134,8,2509,1,500,2,1007
Tue Sep 14 00:00:00 2021,5,3455,3,2188,0,361,2,770
Wed Sep 15 00:00:00 2021,10,3213,5,2141,1,346,4,583
Thu Sep 16 00:00:00 2021,5,3603,3,2354,0,410,2,765
Fri Sep 17 00:00:00 2021,2,2972,1,1669,0,357,1,807
Sat Sep 18 00:00:00 2021,1,998,1,689,0,104,0,162
Sun Sep 19 00:00:00 2021,2,1871,1,1334,0,192,0,291
Mon Sep 20 00:00:00 2021,10,3890,4,2266,2,487,3,964
Tue Sep 21 00:00:00 2021,6,2996,4,1877,0,329,2,683
Wed Sep 22 00:00:00 2021,2,2948,1,2024,0,273,1,516
Thu Sep 23 00:00:00 2021,10,3151,5,1956,2,336,2,714
Fri Sep 24 00:00:00 2021,7,3394,5,2046,0,342,2,809
Sat Sep 25 00:00:00 2021,5,935,3,624,0,112,2,156
Sun Sep 26 00:00:00 2021,5,1703,4,1225,0,184,1,242
Mon Sep 27 00:00:00 2021,10,3653,4,2107,2,395,4,904
Tue Sep 28 00:00:00 2021,8,2965,2,1827,1,328,4,705
Wed Sep 29 00:00:00 2021,7,2657,4,1776,0,232,2,507
Thu Sep 30 00:00:00 2021,4,2941,4,1803,0,273,0,693
Fri Oct  1 00:00:00 2021,3,2478,0,1356,1,258,2,704
Sat Oct  2 00:00:00 2021,1,675,0,447,0,71,1,123
Sun Oct  3 00:00:00 2021,1,1487,1,1013,0,149,0,270
Mon Oct  4 00:00:00 2021,4,3188,1,1860,0,322,3,832
Tue Oct  5 00:00:00 2021,8,2338,5,1387,1,248,2,623
Wed Oct  6 00:00:00 2021,8,2469,5,1616,1,224,2,493
Thu Oct  7 00:00:00 2021,5,2617,4,1623,0,277,0,590
Fri Oct  8 00:00:00 2021,6,2481,2,1348,0,244,3,701
Sat Oct  9 00:00:00 2021,2,731,1,501,0,93,1,111
Sun Oct 10 00:00:00 2021,5,1442,4,1053,0,139,1,203
Mon Oct 11 00:00:00 2021,12,2678,10,1559,0,288,0,706
Tue Oct 12 00:00:00 2021,5,2470,1,1511,0,238,3,613
Wed Oct 13 00:00:00 2021,1,2133,1,1347,0,188,0,462
Thu Oct 14 00:00:00 2021,3,2395,2,1532,1,196,0,540
Fri Oct 15 00:00:00 2021,8,3143,6,2033,0,286,1,666
Sat Oct 16 00:00:00 2021,1,867,0,622,0,95,1,122
Sun Oct 17 00:00:00 2021,1,1135,1,810,0,103,0,191
Mon Oct 18 00:00:00 2021,8,2885,3,1583,3,326,2,866
Tue Oct 19 00:00:00 2021,3,2391,1,1555,0,232,2,518
Wed Oct 20 00:00:00 2021,2,2624,1,1488,1,237,0,768
Thu Oct 21 00:00:00 2021,2,2314,2,1461,0,176,0,510
Fri Oct 22 00:00:00 2021,1,2250,0,1239,0,169,1,703
Sat Oct 23 00:00:00 2021,0,702,0,479,0,66,0,121
Sun Oct 24 00:00:00 2021,5,1140,3,808,1,103,1,185
Mon Oct 25 00:00:00 2021,4,2605,3,1371,0,217,1,898
Tue Oct 26 00:00:00 2021,10,2057,6,1294,1,201,3,477
Wed Oct 27 00:00:00 2021,15,2384,13,1339,0,226,1,712
Thu Oct 28 00:00:00 2021,11,2180,9,1427,1,190,1,443
Fri Oct 29 00:00:00 2021,6,2549,6,1448,0,240,0,713
Sat Oct 30 00:00:00 2021,4,613,3,428,0,63,1,103
Sun Oct 31 00:00:00 2021,7,1123,5,780,1,100,1,191
Mon Nov  1 00:00:00 2021,18,2610,15,1444,2,251,1,840
Tue Nov  2 00:00:00 2021,32,2445,25,1561,2,285,5,484
