_time,totalNewCases,totalNewTests,undergradCases,undergradTests,gradCases,gradTests,facStaffCases,facStaffTests
Mon Nov  9 00:00:00 2020,73,11939,51,8100,4,1571,14,2021
Tue Nov 10 00:00:00 2020,57,10335,47,7183,4,1190,5,1776
Wed Nov 11 00:00:00 2020,52,11065,34,5149,3,2273,12,3393
Thu Nov 12 00:00:00 2020,36,9671,24,6004,4,1398,5,1997
Fri Nov 13 00:00:00 2020,34,11166,23,7571,0,1276,11,2094
Sat Nov 14 00:00:00 2020,16,4576,11,2222,0,936,5,1266
Sun Nov 15 00:00:00 2020,22,6471,11,3331,2,1454,7,1540
Mon Nov 16 00:00:00 2020,52,13538,33,8243,4,2162,10,2872
Tue Nov 17 00:00:00 2020,42,10235,30,6725,3,1269,8,1994
Wed Nov 18 00:00:00 2020,34,10386,21,5118,2,2170,10,2803
Thu Nov 19 00:00:00 2020,26,10395,13,6129,3,1562,8,2474
Fri Nov 20 00:00:00 2020,34,11172,24,7140,0,1468,8,2289
Sat Nov 21 00:00:00 2020,13,3486,11,1486,0,746,1,1099
Sun Nov 22 00:00:00 2020,19,3353,13,1052,2,814,3,1325
Mon Nov 23 00:00:00 2020,26,5794,15,1591,4,1290,6,2687
Tue Nov 24 00:00:00 2020,13,4407,6,1169,2,994,5,2017
Wed Nov 25 00:00:00 2020,14,5582,4,892,2,1440,7,2921
Fri Nov 27 00:00:00 2020,0,187,0,123,0,19,0,44
Sat Nov 28 00:00:00 2020,33,3526,19,934,1,919,12,1487
Sun Nov 29 00:00:00 2020,21,4102,12,1373,4,1087,4,1501
Mon Nov 30 00:00:00 2020,71,9544,47,4131,9,1897,12,3219
Tue Dec  1 00:00:00 2020,27,5769,17,2897,2,1060,7,1622
Wed Dec  2 00:00:00 2020,32,7564,22,3163,3,1645,5,2510
Thu Dec  3 00:00:00 2020,23,6681,15,2923,3,1241,5,2362
Fri Dec  4 00:00:00 2020,25,6939,12,3482,5,1234,8,1970
Sat Dec  5 00:00:00 2020,19,3064,14,1207,1,693,4,1045
Sun Dec  6 00:00:00 2020,23,4328,11,1922,4,929,6,1329
Mon Dec  7 00:00:00 2020,35,8506,20,3828,1,1586,13,2831
Tue Dec  8 00:00:00 2020,27,5891,21,2776,2,1044,3,1866
Wed Dec  9 00:00:00 2020,22,7109,12,3154,0,1467,6,2289
Thu Dec 10 00:00:00 2020,10,6235,6,2628,2,1178,2,2251
Fri Dec 11 00:00:00 2020,10,6297,7,2903,0,1103,0,2045
Sat Dec 12 00:00:00 2020,5,2887,2,1121,1,619,2,1024
Sun Dec 13 00:00:00 2020,10,2966,6,1126,0,624,2,1073
Mon Dec 14 00:00:00 2020,12,7820,4,3172,3,1573,5,2831
Tue Dec 15 00:00:00 2020,12,5104,1,2165,3,918,7,1840
Wed Dec 16 00:00:00 2020,14,5695,9,2296,0,1240,4,1977
Thu Dec 17 00:00:00 2020,11,5766,4,2137,2,1152,5,2292
Fri Dec 18 00:00:00 2020,6,5621,3,2264,1,1056,2,2064
Sat Dec 19 00:00:00 2020,8,2440,3,819,1,533,4,962
Sun Dec 20 00:00:00 2020,4,2163,0,594,0,522,4,930
Mon Dec 21 00:00:00 2020,14,4741,3,880,1,1148,8,2475
Tue Dec 22 00:00:00 2020,9,3413,3,665,2,850,4,1711
Wed Dec 23 00:00:00 2020,8,4853,1,719,1,1010,6,2808
Sat Dec 26 00:00:00 2020,15,1536,8,338,2,370,4,721
Sun Dec 27 00:00:00 2020,10,1697,0,366,3,408,7,820
Mon Dec 28 00:00:00 2020,20,2295,9,473,3,635,6,1048
Tue Dec 29 00:00:00 2020,17,2095,3,518,3,443,11,1010
Wed Dec 30 00:00:00 2020,15,3259,7,759,3,758,5,1562
Sat Jan  2 00:00:00 2021,23,3425,8,870,8,753,5,1638
Sun Jan  3 00:00:00 2021,18,2634,6,607,1,650,10,1253
Mon Jan  4 00:00:00 2021,33,5363,16,995,4,1198,12,2912
Tue Jan  5 00:00:00 2021,26,3129,9,735,3,686,13,1550
Wed Jan  6 00:00:00 2021,12,3920,7,804,2,935,3,2014
Thu Jan  7 00:00:00 2021,15,3924,7,696,4,876,4,2148
Fri Jan  8 00:00:00 2021,14,3650,3,861,1,759,9,1865
Sat Jan  9 00:00:00 2021,4,1910,2,398,0,465,1,935
Sun Jan 10 00:00:00 2021,8,2401,3,523,3,644,2,1104
Mon Jan 11 00:00:00 2021,12,5708,3,1147,3,1336,5,2969
Tue Jan 12 00:00:00 2021,17,3719,7,862,0,865,10,1831
Wed Jan 13 00:00:00 2021,18,4124,6,935,3,976,6,2029
Thu Jan 14 00:00:00 2021,5,4172,3,961,1,871,1,2161
Fri Jan 15 00:00:00 2021,15,5832,4,1604,8,2001,2,2054
Sat Jan 16 00:00:00 2021,12,2836,11,1190,1,623,0,911
Sun Jan 17 00:00:00 2021,18,4631,15,2624,1,727,2,1135
Mon Jan 18 00:00:00 2021,31,8621,25,5363,4,1516,2,1551
Tue Jan 19 00:00:00 2021,29,9058,13,3602,7,2187,9,3047
Wed Jan 20 00:00:00 2021,22,7285,18,3741,2,1301,2,2062
Thu Jan 21 00:00:00 2021,22,8893,14,5272,2,1404,5,2027
Fri Jan 22 00:00:00 2021,23,10398,19,5948,0,1664,2,2547
Sat Jan 23 00:00:00 2021,20,7163,14,4540,4,1319,2,1163
Sun Jan 24 00:00:00 2021,17,9590,14,6525,1,1504,0,1376
Mon Jan 25 00:00:00 2021,24,11495,17,6901,2,1804,5,2568
Tue Jan 26 00:00:00 2021,21,9865,16,6107,3,1504,2,2076
Wed Jan 27 00:00:00 2021,18,9696,13,5597,0,1656,4,2233
Thu Jan 28 00:00:00 2021,18,10352,10,6408,1,1512,6,2237
Fri Jan 29 00:00:00 2021,16,10359,7,6254,2,1558,5,2311
Sat Jan 30 00:00:00 2021,4,4704,4,2591,0,871,0,1110
Sun Jan 31 00:00:00 2021,17,6619,14,4231,2,1151,1,1094
Mon Feb  1 00:00:00 2021,66,14153,59,8747,2,2140,4,2966
Tue Feb  2 00:00:00 2021,41,10122,35,6248,2,1453,4,2189
Wed Feb  3 00:00:00 2021,31,9639,24,5650,1,1664,6,2102
Thu Feb  4 00:00:00 2021,36,9446,29,5790,3,1330,4,2133
Fri Feb  5 00:00:00 2021,57,10894,48,6830,3,1582,4,2249
Sat Feb  6 00:00:00 2021,22,4840,22,2803,0,831,0,1061
Sun Feb  7 00:00:00 2021,43,6512,40,4229,1,1070,0,1045
Mon Feb  8 00:00:00 2021,77,13450,67,8506,5,1982,3,2686
Tue Feb  9 00:00:00 2021,70,10391,63,6630,2,1396,5,2150
Wed Feb 10 00:00:00 2021,44,9379,43,5725,0,1494,1,1959
Thu Feb 11 00:00:00 2021,39,10179,32,6414,1,1479,6,2065
Fri Feb 12 00:00:00 2021,30,10563,26,6554,0,1475,3,2292
Sat Feb 13 00:00:00 2021,24,4463,19,2447,2,883,2,1010
Sun Feb 14 00:00:00 2021,31,6411,25,4051,2,1226,3,1002
Mon Feb 15 00:00:00 2021,53,10678,44,6963,3,1630,6,1873
Tue Feb 16 00:00:00 2021,43,8256,34,5624,3,1348,6,1151
Wed Feb 17 00:00:00 2021,37,10623,30,5714,2,1898,4,2774
Thu Feb 18 00:00:00 2021,41,10318,36,6502,2,1550,3,2014
Fri Feb 19 00:00:00 2021,29,10627,21,6686,4,1539,4,2169
Sat Feb 20 00:00:00 2021,12,4860,9,2812,3,930,0,1000
Sun Feb 21 00:00:00 2021,14,7084,10,4378,2,1306,2,1245
Mon Feb 22 00:00:00 2021,32,13845,29,8431,1,2222,2,2909
Tue Feb 23 00:00:00 2021,26,10326,22,6531,2,1537,2,2034
Wed Feb 24 00:00:00 2021,19,9428,14,5572,2,1591,3,2054
Thu Feb 25 00:00:00 2021,9,9953,8,6019,1,1544,0,2142
Fri Feb 26 00:00:00 2021,11,10823,7,6638,1,1619,3,2320
Sat Feb 27 00:00:00 2021,7,4401,6,2427,0,896,1,964
Sun Feb 28 00:00:00 2021,5,6709,2,4109,2,1222,0,1192
Mon Mar  1 00:00:00 2021,15,14016,12,8320,1,2337,2,3060
Tue Mar  2 00:00:00 2021,10,9778,8,6048,1,1444,1,2029
Wed Mar  3 00:00:00 2021,10,9019,10,5280,0,1578,0,1968
